2023-12-19 12:45:20,903 - cli.py - This is Paynt version 0.1.0.
2023-12-19 12:45:20,903 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/avoid/5-2/sketch.templ ...
2023-12-19 12:45:20,903 - sketch.py - assuming sketch in PRISM format...
2023-12-19 12:45:20,906 - prism_parser.py - PRISM model type: MDP
2023-12-19 12:45:20,906 - prism_parser.py - processing hole definitions...
2023-12-19 12:45:20,906 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/avoid/5-2/sketch.props ...
2023-12-19 12:45:20,907 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 5) & (y = 5))]; 
2023-12-19 12:45:20,907 - jani.py - constructing JANI program...
2023-12-19 12:45:20,909 - jani.py - constructing the quotient...
2023-12-19 12:45:20,973 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 12:45:21,002 - sketch.py - sketch parsing OK
2023-12-19 12:45:21,003 - sketch.py - constructed explicit quotient having 13061 states and 41960 actions
2023-12-19 12:45:21,003 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 5) & (y = 5))]; 
2023-12-19 12:45:21,009 - mdp_family.py - associating choices with action labels...
2023-12-19 12:45:21,087 - synthesizer.py - evaluation initiated, design space: 2500
2023-12-19 12:45:21,100 - smt.py - using Python Z3 for SMT solving.
> Progress 1.28%, elapsed 3 s, estimated 234 s, iters = {MDP: 33}
> Progress 44.08%, elapsed 141 s, estimated 321 s, iters = {MDP: 1103}
> Progress 45.04%, elapsed 144 s, estimated 321 s, iters = {MDP: 1127}
> Progress 46.04%, elapsed 147 s, estimated 321 s, iters = {MDP: 1152}
> Progress 46.92%, elapsed 150 s, estimated 321 s, iters = {MDP: 1174}
> Progress 47.64%, elapsed 153 s, estimated 322 s, iters = {MDP: 1192}
> Progress 48.56%, elapsed 156 s, estimated 323 s, iters = {MDP: 1215}
> Progress 49.6%, elapsed 160 s, estimated 322 s, iters = {MDP: 1241}
> Progress 50.36%, elapsed 163 s, estimated 323 s, iters = {MDP: 1260}
> Progress 51.24%, elapsed 166 s, estimated 324 s, iters = {MDP: 1282}
> Progress 52.12%, elapsed 169 s, estimated 325 s, iters = {MDP: 1304}
> Progress 52.959%, elapsed 172 s, estimated 325 s, iters = {MDP: 1325}
> Progress 53.76%, elapsed 175 s, estimated 326 s, iters = {MDP: 1345}
> Progress 54.64%, elapsed 178 s, estimated 327 s, iters = {MDP: 1367}
> Progress 55.44%, elapsed 181 s, estimated 327 s, iters = {MDP: 1387}
> Progress 56.32%, elapsed 184 s, estimated 328 s, iters = {MDP: 1409}
> Progress 57.48%, elapsed 187 s, estimated 326 s, iters = {MDP: 1438}
> Progress 58.28%, elapsed 190 s, estimated 327 s, iters = {MDP: 1458}
> Progress 59.16%, elapsed 193 s, estimated 327 s, iters = {MDP: 1480}
> Progress 60.04%, elapsed 197 s, estimated 328 s, iters = {MDP: 1502}
> Progress 60.76%, elapsed 200 s, estimated 329 s, iters = {MDP: 1520}
> Progress 61.48%, elapsed 203 s, estimated 330 s, iters = {MDP: 1538}
> Progress 62.2%, elapsed 206 s, estimated 331 s, iters = {MDP: 1556}
> Progress 62.88%, elapsed 209 s, estimated 332 s, iters = {MDP: 1573}
> Progress 63.6%, elapsed 212 s, estimated 333 s, iters = {MDP: 1591}
> Progress 64.28%, elapsed 215 s, estimated 334 s, iters = {MDP: 1608}
> Progress 64.959%, elapsed 218 s, estimated 336 s, iters = {MDP: 1625}
> Progress 65.68%, elapsed 221 s, estimated 337 s, iters = {MDP: 1643}
> Progress 66.4%, elapsed 224 s, estimated 338 s, iters = {MDP: 1661}
> Progress 67.08%, elapsed 227 s, estimated 339 s, iters = {MDP: 1678}
> Progress 67.76%, elapsed 230 s, estimated 340 s, iters = {MDP: 1695}
> Progress 68.44%, elapsed 233 s, estimated 341 s, iters = {MDP: 1712}
> Progress 69.24%, elapsed 237 s, estimated 342 s, iters = {MDP: 1732}
> Progress 69.96%, elapsed 240 s, estimated 343 s, iters = {MDP: 1750}
> Progress 70.64%, elapsed 243 s, estimated 344 s, iters = {MDP: 1767}
> Progress 71.36%, elapsed 246 s, estimated 345 s, iters = {MDP: 1785}
> Progress 72.24%, elapsed 249 s, estimated 345 s, iters = {MDP: 1807}
> Progress 73.16%, elapsed 252 s, estimated 345 s, iters = {MDP: 1830}
> Progress 74.44%, elapsed 255 s, estimated 343 s, iters = {MDP: 1862}
> Progress 75.16%, elapsed 258 s, estimated 344 s, iters = {MDP: 1880}
> Progress 75.88%, elapsed 261 s, estimated 344 s, iters = {MDP: 1898}
> Progress 76.56%, elapsed 264 s, estimated 345 s, iters = {MDP: 1915}
> Progress 77.28%, elapsed 267 s, estimated 346 s, iters = {MDP: 1933}
> Progress 78.16%, elapsed 271 s, estimated 346 s, iters = {MDP: 1955}
> Progress 78.76%, elapsed 274 s, estimated 348 s, iters = {MDP: 1970}
> Progress 79.56%, elapsed 277 s, estimated 348 s, iters = {MDP: 1990}
> Progress 80.6%, elapsed 280 s, estimated 347 s, iters = {MDP: 2016}
> Progress 81.76%, elapsed 283 s, estimated 346 s, iters = {MDP: 2045}
> Progress 82.48%, elapsed 286 s, estimated 347 s, iters = {MDP: 2063}
> Progress 83.16%, elapsed 289 s, estimated 348 s, iters = {MDP: 2080}
> Progress 83.84%, elapsed 292 s, estimated 349 s, iters = {MDP: 2097}
> Progress 84.56%, elapsed 295 s, estimated 349 s, iters = {MDP: 2115}
> Progress 85.24%, elapsed 299 s, estimated 350 s, iters = {MDP: 2132}
> Progress 85.88%, elapsed 302 s, estimated 351 s, iters = {MDP: 2148}
> Progress 86.64%, elapsed 305 s, estimated 352 s, iters = {MDP: 2167}
> Progress 87.36%, elapsed 308 s, estimated 353 s, iters = {MDP: 2185}
> Progress 88.04%, elapsed 311 s, estimated 353 s, iters = {MDP: 2202}
> Progress 88.72%, elapsed 314 s, estimated 354 s, iters = {MDP: 2219}
> Progress 89.52%, elapsed 317 s, estimated 355 s, iters = {MDP: 2239}
> Progress 90.24%, elapsed 320 s, estimated 355 s, iters = {MDP: 2257}
> Progress 90.96%, elapsed 324 s, estimated 356 s, iters = {MDP: 2275}
> Progress 91.6%, elapsed 327 s, estimated 357 s, iters = {MDP: 2291}
> Progress 92.4%, elapsed 330 s, estimated 357 s, iters = {MDP: 2311}
> Progress 93.08%, elapsed 333 s, estimated 358 s, iters = {MDP: 2328}
> Progress 93.84%, elapsed 336 s, estimated 358 s, iters = {MDP: 2347}
> Progress 94.6%, elapsed 339 s, estimated 359 s, iters = {MDP: 2366}
> Progress 95.28%, elapsed 342 s, estimated 359 s, iters = {MDP: 2383}
> Progress 95.92%, elapsed 345 s, estimated 360 s, iters = {MDP: 2399}
> Progress 96.52%, elapsed 348 s, estimated 361 s, iters = {MDP: 2414}
> Progress 97.16%, elapsed 351 s, estimated 362 s, iters = {MDP: 2430}
> Progress 97.76%, elapsed 354 s, estimated 363 s, iters = {MDP: 2445}
> Progress 98.4%, elapsed 358 s, estimated 363 s, iters = {MDP: 2461}
> Progress 99.0%, elapsed 361 s, estimated 364 s, iters = {MDP: 2476}
> Progress 99.6%, elapsed 364 s, estimated 365 s, iters = {MDP: 2491}
unSAT MDPs: 307	unSAT families: 307	avg. unSAT family size: 1.0
SAT MDPs: 2193	SAT families: 2193	avg. SAT family size: 1.0
policies: 2193	policy per SAT MDP: 1.0
iterations: 2500
time: 366.34s
